id,produto,quantidade,preço,data
1,camiseta,2,29.90,01/01/2023
2,calça,5,80.00,02/01/2023
3,sapato,3,100.00,03/01/2023
4,meia,20,5.00,04/01/2023
5,cinto,8,15.00,05/01/2023
6,camisa,7,40.00,06/01/2023
7,bermuda,6,50.00,07/01/2023
8,tênis,4,120.00,08/01/2023
9,bone,12,10.00,09/01/2023
10,casaco,2,150.00,10/01/2023
11,mochila,9,60.00,11/01/2023
12,livro,15,20.00,12/01/2023
13,caderno,18,8.00,13/01/2023
14,lápis,30,1.00,14/01/2023
15,borracha,25,0.50,15/01/2023
16,cola,10,2.50,16/01/2023
17,régua,12,4.00,17/01/2023
18,pincel atômico,8,5.00,18/01/2023
19,papel sulfite A4 500 folhas,6,25.00,19/01/2023
20,pasta sanfonada,4,35.00,20/01/2023
21,fone de ouvido,5,80.00,21/01/2023
22,mouse sem fio,7,50.00,22/01/2023
23,filtro de linha,6,30.00,23/01/2023
24,cabo HDMI,10,15.00,24/01/2023
25,pilha AA,20,2.00,25/01/2023
26,luminária de mesa,4,40.00,26/01/2023
27,relogio de parede,8,20.00,27/01/2023
28,porta-retrato digital,2,100.00,28/01/2023
29,vaporizador de roupas,1,150.00,29/01/2023
30,balança digital,3,60.00,30/01/2023
31,furadeira elétrica,2,200.00,31/01/2023
32,jogo de panelas antiaderente,5,120.00,01/02/2023
33,faca elétrica,4,80.00,02/02/2023
34,sanduicheira elétrica,6,40.00,03/02/2023
35,mixer de alimentos,7,50.00,04/02/2023
36,batedeira planetária,2,300.00,05/02/2023
id,produto,quantidade,preço,data
52,guitarra elétrica fender,3,2999.00,20/02/2023
53,amplificador de guitarra,4,799.00,21/02/2023
54,pedaleira preta,5,499.00,22/02/2023
55,cabo para instrumento ninja,10,59.00,23/02/2023
56,palheta dunlop,20,1.00,24/02/2023
57,afinador digital,6,49.00,25/02/2023
58,capotraste,8,99.00,26/02/2023
59,suporte para guitarra,7,29.00,27/02/2023
60,correia para guitarra,9,19.00,28/02/2023
61,encordoamento para guitarra,12,39.00,01/03/2023
62,violão acústico,4,299.00,02/03/2023
63,capa para violão,5,99.00,03/03/2023
64,banqueta para violão,6,69.00,04/03/2023
65,limpador de cordas,8,29.00,05/03/2023
66,flauta transversal,2,1999.00,06/03/2023
67,suporte para flauta,4,79.00,07/03/2023
68,estojo para flauta,10,9999,08/03/2023
70,saxofone,4,4359.00,10/03/2023
71,suporte para saxofone,5,32,69,11/03/2023
76,teclado musical casio,2,784.98,16/03/2023
77,sintetizador de voz,3,324.12,17/03/2023
78,controlador com cabo usb,4,124.00,18/03/2023
79,caixa de som jbl,2,39.99,19/03/2023
80,microfone sem fio shure,3,2000.00,20/03/2023
81,pedestal para microfone,6,150.00,21/03/2023
82,cabo para microfone,10,12.50,22/03/2023
83,caixa acústica,8,789.00,24/03/2023
85,mixer de áudio behringer,2,888.00,25/03/2023
86,fone de ouvido profissional akg,3,300.00,27/03/2023
88,monitor yamaha hs5,2,990.00,31/01/2023
